Arrival_Date,State,District,Market,Commodity,Variety,Min_Price,Max_Price,Modal_Price,Distance_KM
2026-08-13,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1638.64,1847.82,1743.23,15
2026-08-14,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1626.08,1833.66,1729.87,15
2026-08-15,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1631.62,1839.92,1735.77,15
2026-08-16,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1622.7,1829.86,1726.28,15
2026-08-17,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1621.97,1829.03,1725.5,15
2026-08-18,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1614.68,1820.82,1717.75,15
2026-08-19,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1609.4,1814.86,1712.13,15
2026-08-20,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1604.68,1809.54,1707.11,15
2026-08-21,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1595.53,1799.21,1697.37,15
2026-08-22,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1599.57,1803.77,1701.67,15
2026-08-23,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1591.44,1794.6,1693.02,15
2026-08-24,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1591.73,1794.93,1693.33,15
2026-08-25,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1582.28,1784.28,1683.28,15
2026-08-26,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1562.31,1761.75,1662.03,15
2026-08-27,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1574.33,1775.31,1674.82,15
2026-08-28,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1580.95,1782.77,1681.86,15
2026-08-29,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1610.97,1816.63,1713.8,15
2026-08-30,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1597.41,1801.33,1699.37,15
2026-08-31,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1594.76,1798.34,1696.55,15
2026-09-01,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1593.17,1796.55,1694.86,15
2026-09-02,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1606.2,1811.24,1708.72,15
2026-09-03,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1599.64,1803.86,1701.75,15
2026-09-04,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1584.42,1786.68,1685.55,15
2026-09-05,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1600.3,1804.6,1702.45,15
2026-09-06,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1596.25,1800.03,1698.14,15
2026-09-07,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1607.83,1813.09,1710.46,15
2026-09-08,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1617.89,1824.43,1721.16,15
2026-09-09,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1617.58,1824.08,1720.83,15
2026-09-10,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1615.39,1821.61,1718.5,15
2026-05-14,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1726.59,1947.01,1836.8,60
2026-05-15,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1740.26,1962.42,1851.34,60
2026-05-16,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1754.64,1978.64,1866.64,60
2026-05-17,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1770.08,1996.04,1883.06,60
2026-05-18,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1778.41,2005.45,1891.93,60
2026-05-19,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1763.72,1988.88,1876.3,60
2026-05-20,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1784.93,2012.79,1898.86,60
2026-05-21,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1770.2,1996.18,1883.19,60
2026-05-22,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1774.19,2000.69,1887.44,60
2026-05-23,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1764.53,1989.79,1877.16,60
2026-05-24,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1763.79,1988.95,1876.37,60
2026-05-25,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1768.12,1993.84,1880.98,60
2026-05-26,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1772.36,1998.62,1885.49,60
2026-05-27,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1777.91,2004.87,1891.39,60
2026-05-28,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1798.86,2028.5,1913.68,60
2026-05-29,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1804.81,2035.21,1920.01,60
2026-05-30,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1801.74,2031.74,1916.74,60
2026-05-31,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1814.28,2045.9,1930.09,60
2026-06-01,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1829.75,2063.33,1946.54,60
2026-06-02,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1813.96,2045.54,1929.75,60
2026-06-03,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1821.78,2054.34,1938.06,60
2026-06-04,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1830.93,2064.67,1947.8,60
2026-06-05,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1827.16,2060.42,1943.79,60
2026-06-06,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1845.04,2080.58,1962.81,60
2026-06-07,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1843.19,2078.49,1960.84,60
2026-06-08,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1844.89,2080.41,1962.65,60
2026-06-09,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1842.75,2077.99,1960.37,60
2026-06-10,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1843.03,2078.31,1960.67,60
2026-06-11,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1828.95,2062.43,1945.69,60
2026-06-12,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1810.41,2041.53,1925.97,60
2026-06-13,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1831.11,2064.87,1947.99,60
2026-06-14,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1820.25,2052.63,1936.44,60
2026-06-15,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1807.52,2038.26,1922.89,60
2026-06-16,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1779.76,2006.96,1893.36,60
2026-06-17,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1771.59,1997.75,1884.67,60
2026-06-18,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1754.57,1978.55,1866.56,60
2026-06-19,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1775.89,2002.59,1889.24,60
2026-06-20,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1789.03,2017.41,1903.22,60
2026-06-21,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1780.21,2007.47,1893.84,60
2026-06-22,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1809.42,2040.42,1924.92,60
2026-06-23,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1822.2,2054.82,1938.51,60
2026-06-24,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1818.09,2050.19,1934.14,60
2026-06-25,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1785.86,2013.84,1899.85,60
2026-06-26,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1815.56,2047.34,1931.45,60
2026-06-27,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1797.68,2027.18,1912.43,60
2026-06-28,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1776.5,2003.28,1889.89,60
2026-06-29,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1789.81,2018.29,1904.05,60
2026-06-30,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1821.44,2053.96,1937.7,60
2026-07-01,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1839.42,2074.24,1956.83,60
2026-07-02,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1846.8,2082.56,1964.68,60
2026-07-03,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1854.57,2091.33,1972.95,60
2026-07-04,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1865.69,2103.87,1984.78,60
2026-07-05,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1875.59,2115.03,1995.31,60
2026-07-06,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1879.31,2119.23,1999.27,60
2026-07-07,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1880.74,2120.84,2000.79,60
2026-07-08,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1880.02,2120.02,2000.02,60
2026-07-09,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1870.37,2109.14,1989.75,60
2026-07-10,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1866.82,2105.14,1985.98,60
2026-07-11,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1845.01,2080.55,1962.78,60
2026-07-12,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1843.83,2079.21,1961.52,60
2026-07-13,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1831.14,2064.9,1948.02,60
2026-07-14,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1816.95,2048.91,1932.93,60
2026-07-15,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1819.36,2051.62,1935.49,60
2026-07-16,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1837.45,2072.01,1954.73,60
2026-07-17,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1849.41,2085.51,1967.46,60
2026-07-18,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1829.19,2062.71,1945.95,60
2026-07-19,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1816.48,2048.38,1932.43,60
2026-07-20,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1828.73,2062.19,1945.46,60
2026-07-21,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1816.11,2047.95,1932.03,60
2026-07-22,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1813.3,2044.78,1929.04,60
2026-07-23,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1820.49,2052.89,1936.69,60
2026-07-24,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1808.06,2038.88,1923.47,60
2026-07-25,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1809.51,2040.51,1925.01,60
2026-07-26,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1792.35,2021.15,1906.75,60
2026-07-27,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1784.66,2012.48,1898.57,60
2026-07-28,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1788.88,2017.24,1903.06,60
2026-07-29,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1768.37,1994.11,1881.24,60
2026-07-30,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1774.15,2000.63,1887.39,60
2026-07-31,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1773.98,2000.44,1887.21,60
2026-08-01,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1781.21,2008.59,1894.9,60
2026-08-02,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1784.2,2011.96,1898.08,60
2026-08-03,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1801.91,2031.95,1916.93,60
2026-08-04,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1803.62,2033.88,1918.75,60
2026-08-05,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1798.15,2027.71,1912.93,60
2026-08-06,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1799.82,2029.58,1914.7,60
2026-08-07,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1806.93,2037.61,1922.27,60
2026-08-08,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1807.65,2038.41,1923.03,60
2026-08-09,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1808.26,2039.1,1923.68,60
2026-08-10,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1799.27,2028.97,1914.12,60
2026-08-11,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1790.78,2019.4,1905.09,60
2026-08-12,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1772.74,1999.04,1885.89,60
2026-08-13,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1795.45,2024.65,1910.05,60
2026-08-14,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1779.45,2006.61,1893.03,60
2026-08-15,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1770.57,1996.61,1883.59,60
2026-08-16,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1761.37,1986.23,1873.8,60
2026-08-17,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1773.03,1999.37,1886.2,60
2026-08-18,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1769.31,1995.17,1882.24,60
2026-08-19,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1785.52,2013.46,1899.49,60
2026-08-20,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1776.9,2003.74,1890.32,60
2026-08-21,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1780.6,2007.9,1894.25,60
2026-08-22,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1769.88,1995.82,1882.85,60
2026-08-23,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1797.7,2027.2,1912.45,60
2026-08-24,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1782.44,2009.98,1896.21,60
2026-08-25,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1786.53,2014.59,1900.56,60
2026-08-26,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1794.81,2023.93,1909.37,60
2026-08-27,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1800.24,2030.06,1915.15,60
2026-08-28,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1797.93,2027.45,1912.69,60
2026-08-29,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1796.34,2025.66,1911.0,60
2026-08-30,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1796.99,2026.39,1911.69,60
2026-08-31,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1795.17,2024.35,1909.76,60
2026-09-01,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1807.72,2038.5,1923.11,60
2026-09-02,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1836.39,2070.83,1953.61,60
2026-09-03,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1829.27,2062.79,1946.03,60
2026-09-04,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1811.64,2042.92,1927.28,60
2026-09-05,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1810.59,2041.73,1926.16,60
2026-09-06,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1844.04,2079.44,1961.74,60
2026-09-07,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1833.72,2067.82,1950.77,60
2026-09-08,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1855.01,2091.81,1973.41,60
2026-09-09,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1876.79,2116.37,1996.58,60
2026-09-10,Delhi,North Delhi,Azadpur Mandi,Onion,Nashik Red,1869.72,2108.4,1989.06,60
2026-05-14,Madhya Pradesh,Bhopal,Bhopal Mandi,Onion,Bangalore Rose,1594.8,1798.4,1696.6,480
2026-05-15,Madhya Pradesh,Bhopal,Bhopal Mandi,Onion,Bangalore Rose,1592.39,1795.67,1694.03,480
2026-05-16,Madhya Pradesh,Bhopal,Bhopal Mandi,Onion,Bangalore Rose,1590.93,1794.03,1692.48,480
2026-05-17,Madhya Pradesh,Bhopal,Bhopal Mandi,Onion,Bangalore Rose,1568.5,1768.74,1668.62,480
2026-05-18,Madhya Pradesh,Bhopal,Bhopal Mandi,Onion,Bangalore Rose,1562.02,1761.42,1661.72,480
2026-05-19,Madhya Pradesh,Bhopal,Bhopal Mandi,Onion,Bangalore Rose,1563.2,1762.76,1662.98,480
2026-05-20,Madhya Pradesh,Bhopal,Bhopal Mandi,Onion,Bangalore Rose,1565.19,1765.01,1665.1,480
2026-05-21,Madhya Pradesh,Bhopal,Bhopal Mandi,Onion,Bangalore Rose,1552.98,1751.24,1652.11,480
2026-05-22,Madhya Pradesh,Bhopal,Bhopal Mandi,Onion,Bangalore Rose,1568.2,1768.4,1668.3,480
2026-05-23,Madhya Pradesh,Bhopal,Bhopal Mandi,Onion,Bangalore Rose,1557.92,1756.8,1657.36,480
2026-05-24,Madhya Pradesh,Bhopal,Bhopal Mandi,Onion,Bangalore Rose,1569.6,1769.98,1669.79,480
2026-05-25,Madhya Pradesh,Bhopal,Bhopal Mandi,Onion,Bangalore Rose,1574.79,1775.83,1675.31,480
2026-05-26,Madhya Pradesh,Bhopal,Bhopal Mandi,Onion,Bangalore Rose,1567.14,1767.2,1667.17,480
